id_municipio,nome_municipio,capital,regiao_metropolitana,sigla_uf,nome_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
5000906,Antônio João,0,,MS,Mato Grosso do Sul,3176,9293,1143,89.196,29,99.21,36.67,1513,1343,0,0
5005202,Ladário,0,,MS,Mato Grosso do Sul,6386,21485,354,95.858,29,97.96,27.73,54,0,50,0
5103908,General Carneiro,0,,MT,Mato Grosso,1895,6004,4515,90.064,29,109.76,32.98,2267,1485,0,0
5108006,Tapurah,0,,MT,Mato Grosso,4598,14048,4493,94.791,29,108.56,21.22,5,0,0,0
5103353,Confresa,0,,MT,Mato Grosso,11908,34994,5802,9.334,29,105.95,22.82,184,0,0,0
5105259,Lucas do Rio Verde,0,,MT,Mato Grosso,27725,83576,3675,97.161,29,101.16,15.03,57,0,0,0
5101902,Brasnorte,0,,MT,Mato Grosso,5771,16949,15968,92.964,29,105.61,25.6,1637,1595,0,0
5107776,Santa Terezinha,0,,MT,Mato Grosso,2338,7568,6466,88.873,29,111.88,28.86,1613,1283,0,0
5107925,Sorriso,0,,MT,Mato Grosso,37031,110143,9294,95.997,29,103,18.95,60,0,0,0
5108907,Nova Maringá,0,,MT,Mato Grosso,1925,5704,11553,91.976,29,112.12,21.16,5,0,0,0
5107040,Primavera do Leste,0,,MT,Mato Grosso,28967,84690,5470,96.809,29,101.33,20.62,175,0,0,0
5104526,Ipiranga do Norte,0,,MT,Mato Grosso,2546,7638,3422,95.828,29,110.99,18.97,5,0,0,0
1506302,Salvaterra,0,,PA,Pará,7391,24043,919,93.017,29,99.78,31.34,21,0,7432,553
1504455,Medicilândia,0,,PA,Pará,8955,27027,8273,87.126,29,112.19,25.19,18,0,0,0
1501709,Bragança,0,,PA,Pará,37060,122802,2125,88.144,29,100.13,30.55,95,0,708,0
1507151,São Domingos do Araguaia,0,,PA,Pará,6800,21053,1392,84.769,29,103.28,33.92,61,27,0,0
1507458,São Geraldo do Araguaia,0,,PA,Pará,7711,24153,3168,87.724,29,101.91,29.25,483,469,0,0
1508126,Ulianópolis,0,,PA,Pará,9700,37862,5088,89.197,29,100.15,17.67,35,0,0,0
1502301,Capitão Poço,0,,PA,Pará,18213,56462,2901,81.774,29,103,29.8,71,0,125,36
1500107,Abaetetuba,0,,PA,Pará,43033,157761,1611,89.908,29,100.51,28.99,93,0,14504,7528
1503408,Inhangapi,0,,PA,Pará,3213,10313,473,8.791,29,102.61,32.63,7,0,1242,321
1508084,Tucumã,0,,PA,Pará,12825,39484,2513,90.437,29,99.82,24.33,39,0,0,0
1508407,Xinguara,0,,PA,Pará,17900,52546,3779,90.676,29,101.09,26.06,55,0,0,0
1508100,Tucuruí,0,,PA,Pará,27400,90701,2084,91.828,29,97.91,28.08,813,658,0,0
1504802,Monte Alegre,0,,PA,Pará,18315,59946,18153,88.844,29,102.33,33.33,64,0,571,0
1503093,Goianésia do Pará,0,,PA,Pará,8289,26317,7024,84.442,29,105.36,25.84,116,69,0,0
1507508,São João do Araguaia,0,,PA,Pará,4390,13612,1280,80.618,29,114.37,31.9,25,0,0,0
1505635,Piçarra,0,,PA,Pará,4072,12822,3313,87.896,29,110.43,26.73,5,0,0,0
1506138,Redenção,0,,PA,Pará,28022,85146,3824,91.957,29,97.36,26.87,304,0,0,0
1500602,Altamira,0,,PA,Pará,41217,125916,159533,90.343,29,99.38,23.59,6157,4054,0,0
1507300,São Félix do Xingu,0,,PA,Pará,20836,65124,84213,89.009,29,113.87,20.15,2451,2173,0,0
1504059,Mãe do Rio,0,,PA,Pará,9890,34288,469,87.475,29,96.68,30.8,13,0,0,0
1506559,Santa Luzia do Pará,0,,PA,Pará,6312,20329,1347,82.402,29,101.09,33.78,896,836,1235,511
1501253,Bannach,0,,PA,Pará,1323,3990,2957,87.217,29,115.91,26.39,216,211,0,0
1503044,Floresta do Araguaia,0,,PA,Pará,5986,17887,3444,87.036,29,113.07,28.78,30,0,0,0
2501401,Baía da Traição,0,Região Metropolitana do Vale do Mamanguape,PB,Paraíba,2794,9203,103,82.284,29,98.79,28.42,7985,6207,0,0
2504033,Capim,0,,PB,Paraíba,2194,6964,80,71.533,29,97.39,32.2,25,0,0,0
2509305,Mataraca,0,Região Metropolitana do Vale do Mamanguape,PB,Paraíba,2680,8223,182,79.816,29,98.6,31.27,997,0,0,0
2608750,Lagoa Grande,0,Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,PE,Pernambuco,8055,24040,1850,8.174,29,97.65,29.94,267,0,168,0
2615409,Toritama,0,,PE,Pernambuco,14213,41124,26,84.862,29,93.19,21.66,83,0,0,0
2609303,Mirandiba,0,,PE,Pernambuco,4467,14148,822,82.927,29,98.63,38.84,4532,176,3355,188
2615805,Tupanatinga,0,,PE,Pernambuco,7917,26915,935,74.069,29,96.97,36.82,1920,986,2365,0
2614857,Tamandaré,0,,PE,Pernambuco,7632,23552,214,85.607,29,94.99,29.78,8,0,124,0
2600500,Águas Belas,0,,PE,Pernambuco,13433,41513,886,70.217,29,94.72,39.51,5709,5624,2304,0
2605707,Floresta,0,,PE,Pernambuco,9418,30101,3605,86.697,29,95.75,36.3,5446,891,854,0
2602803,Buíque,0,,PE,Pernambuco,17119,51902,1337,71.217,29,98.7,39.8,1111,319,1637,0
2609808,Orocó,0,Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,PE,Pernambuco,4286,13601,555,8.318,29,100.31,30.47,1817,136,1764,1465
2612604,Santa Maria da Boa Vista,0,Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,PE,Pernambuco,12529,40513,3001,83.185,29,101.64,30.56,341,0,3617,1736
2206209,Miguel Alves,0,,PI,Piauí,9272,32136,1392,70.569,29,101.97,39.65,8,0,0,0
2206803,Nossa Senhora dos Remédios,0,,PI,Piauí,2549,8520,358,73.185,29,100.49,39.48,0,0,0,0
2203271,Curral Novo do Piauí,0,,PI,Piauí,1575,5060,755,7.377,29,102.51,35.1,2,0,295,0
2205953,Marcolândia,0,,PI,Piauí,2822,8526,137,7.705,29,99.37,31.91,0,0,0,0
2211209,Uruçuí,0,,PI,Piauí,7639,25182,8413,86.695,29,98.4,34.38,262,0,0,0
2201903,Bom Jesus,0,,PI,Piauí,8991,28734,5471,88.098,29,99.05,29.54,320,0,4,0
2206605,Monte Alegre do Piauí,0,,PI,Piauí,3273,10653,2417,80.934,29,102.51,36.24,1,0,0,0
4127882,Tunas do Paraná,0,Região Metropolitana de Curitiba,PR,Paraná,2104,6215,668,87.495,29,103.63,28.38,20,0,6,0
1100106,Guajará-Mirim,0,,RO,Rondônia,11803,38963,24857,94.162,29,100.36,26.54,5469,4786,493,0
1100338,Nova Mamoré,0,,RO,Rondônia,8447,25363,10070,90.688,29,105.09,25.34,1067,978,16,0
1400605,São Luiz,0,Região Metropolitana do Sul do Estado,RR,Roraima,2260,7127,1527,0.9,29,113.7,26.09,31,0,0,0
4203154,Calmon,0,Região Metropolitana do Contestado,SC,Santa Catarina,1127,3439,636,90.902,29,110.32,29.29,19,0,0,0
2806305,Santa Luzia do Itanhy,0,,SE,Sergipe,4513,13602,325,75.594,29,98.4,32.29,14,0,4645,3986
2804201,Monte Alegre de Sergipe,0,,SE,Sergipe,4814,14304,387,74.544,29,101.29,31.47,2,0,0,0
2801702,Cristinápolis,0,,SE,Sergipe,5757,17032,229,77.532,29,97.48,30.58,4,0,48,0
2802700,Ilha das Flores,0,,SE,Sergipe,2767,8314,53,80.632,29,96.34,34.91,8,0,0,0
2802809,Indiaroba,0,,SE,Sergipe,5261,16527,316,79.558,29,98.69,30.89,52,0,0,0
1703800,Buriti do Tocantins,0,,TO,Tocantins,2851,10303,253,80.678,29,98.56,37.74,21,0,0,0
1720200,São Miguel do Tocantins,0,,TO,Tocantins,4058,13233,407,84.368,29,100.5,33.24,41,0,0,0
1719004,Santa Tereza do Tocantins,0,,TO,Tocantins,853,2781,540,86.834,29,106.15,34.51,2,0,569,381
1702554,Augustinópolis,0,,TO,Tocantins,5667,17405,389,8.665,29,95.42,34.55,21,0,0,0
1200450,Senador Guiomard,0,,AC,Acre,6961,20993,2320,87.043,30,106.01,31.36,31,0,0,0
1200401,Rio Branco,1,,AC,Acre,123861,361869,8835,93.041,30,93.91,29.35,1799,0,0,0
2705705,Olho d'Água das Flores,0,,AL,Alagoas,6787,20640,188,79.949,30,91.71,38.37,30,0,794,0
2701100,Branquinha,0,,AL,Alagoas,3064,9376,168,67.097,30,96.34,35.01,4,0,0,0
2708303,São José da Laje,0,,AL,Alagoas,6822,20805,257,74.581,30,94.5,36.03,43,0,0,0
2708709,São Miguel dos Milagres,0,,AL,Alagoas,2685,8473,77,81.993,30,94.99,31.47,25,0,0,0
2702900,Girau do Ponciano,0,Região Metropolitana do Agreste,AL,Alagoas,11035,35310,513,69.766,30,101.45,37.67,17,0,65,0
2705408,Monteirópolis,0,,AL,Alagoas,2211,7184,87,73.536,30,95.27,38.93,0,0,793,0
2703700,Jaramataia,0,Região Metropolitana do Agreste,AL,Alagoas,1595,4983,105,68.758,30,94.35,36.16,2,0,0,0
2708105,Santana do Mundaú,0,,AL,Alagoas,3815,11320,232,72.168,30,98.75,35.25,11,0,529,0
2705002,Mata Grande,0,,AL,Alagoas,7057,21840,915,68.919,30,98.22,42.31,456,0,627,0
2707206,Poço das Trincheiras,0,,AL,Alagoas,4049,12480,284,73.265,30,101.03,36.71,19,0,1944,0
